CNPJ_FUNDO;DT_REG;CLASSE;DT_INI_CLASSE;DT_FIM_CLASSE
00.000.432/0001-00;2005-03-31;Fundo Multimercado;2005-03-31;
00.000.744/0001-06;2005-01-13;Fundo de Curto Prazo;2005-01-01;
00.000.746/0001-03;2004-12-09;Fundo de Ações;2004-11-29;
00.000.756/0001-30;2005-03-21;Fundo de Renda Fixa;2005-03-10;2007-01-29
00.000.756/0001-30;2005-03-21;Fundo de Curto Prazo;2007-01-29;
00.000.777/0001-56;2005-04-14;Fundo de Renda Fixa;2005-03-31;
00.016.893/0001-63;2005-03-29;Fundo de Renda Fixa;2005-03-21;
00.016.913/0001-04;2005-03-23;Fundo Multimercado;2005-03-09;
00.016.917/0001-84;2005-01-17;Fundo de Curto Prazo;2005-01-01;
00.016.940/0001-79;2005-03-31;Fundo Multimercado;2005-03-18;
00.016.962/0001-39;2005-04-01;Fundo Multimercado;2005-03-21;
00.016.991/0001-09;2005-04-05;Fundo de Ações;2005-03-28;
00.017.015/0001-62;2005-04-14;Fundo de Ações;2005-03-31;
00.017.024/0001-53;2005-03-31;Fundo de Renda Fixa;2005-03-18;
00.068.305/0001-35;2004-12-22;Fundo de Renda Fixa;2004-12-02;
00.071.477/0001-68;2005-03-29;Fundo de Renda Fixa;2005-03-24;2008-05-02
00.071.477/0001-68;2005-03-29;Fundo de Curto Prazo;2008-05-02;2016-03-23
00.071.477/0001-68;2005-03-29;Fundo de Renda Fixa;2016-03-23;
00.073.041/0001-08;2005-07-28;Fundo de Renda Fixa;2005-07-20;
00.074.069/0001-60;2005-03-14;Fundo de Ações;2005-03-01;
00.082.140/0001-56;2005-03-16;Fundo Cambial;2005-03-16;
00.083.181/0001-67;2005-02-03;Fundo de Ações;2005-01-31;
00.089.915/0001-15;2005-07-08;Fundo de Renda Fixa;2005-07-08;2019-09-30
00.089.915/0001-15;2005-07-08;Fundo Multimercado;2019-09-30;
00.102.322/0001-41;2005-02-11;Fundo de Ações;2005-02-01;
00.110.792/0001-57;2005-02-11;Fundo de Ações;2005-01-27;
00.129.423/0001-06;2005-04-01;Fundo Multimercado;2005-03-21;
00.129.444/0001-21;2016-11-17;Fundo de Ações;2016-11-16;
00.153.310/0001-46;2005-03-08;Fundo Referenciado;2005-02-28;
00.168.791/0001-63;2005-03-05;Fundo Multimercado;2005-02-28;
00.180.995/0001-10;2005-02-15;Fundo de Renda Fixa;2005-02-01;
00.185.258/0001-00;2005-02-01;Fundo de Ações;2005-01-31;
00.185.259/0001-54;2005-02-01;Fundo de Ações;2005-01-31;
